,importance,importance_normalized
item_id,141545,1
week,51158,0.361426
store_id,8270,0.058427
dayofweek,3854,0.027228
rolling_mean_t30,3061,0.021626
rolling_mean_t7,2835,0.020029
rolling_mean_365_t7,2760,0.019499
sell_price,2612,0.018453
rolling_mean_t180,2575,0.018192
rolling_mean_365_t180,2523,0.017825
rolling_std_t180,2354,0.016631
rolling_mean_t90,2341,0.016539
rolling_std_t7,2333,0.016482
month,2149,0.015182
rolling_mean_t60,2114,0.014935
rolling_mean_365_t30,2106,0.014879
rolling_std_t30,2055,0.014518
rolling_skew_t30,1953,0.013798
shift_t28,1890,0.013353
rolling_mean_365_t90,1877,0.013261
rolling_mean_365_t60,1750,0.012364
event_name_1,1691,0.011947
rolling_kurt_t30,1644,0.011615
rolling_std_t60,1602,0.011318
rolling_std_t90,1601,0.011311
shift_t35,1485,0.010491
rolling_price_std_t30,1347,0.009516
shift_t29,1114,0.00787
shift_t30,1100,0.007771
dept_id,959,0.006775
price_change_t365,923,0.006521
rolling_price_std_t7,759,0.005362
year,729,0.00515
is_weekend,657,0.004642
state_id,564,0.003985
price_change_t1,343,0.002423
quarter,232,0.001639
snap_WI,199,0.001406
cat_id,168,0.001187
snap_TX,158,0.001116
snap_CA,142,0.001003
is_year_end,74,0.000523
is_month_start,67,0.000473
is_month_end,45,0.000318
is_quarter_end,12,0.000085
is_quarter_start,11,0.000078
event_type_1,6,0.000042
event_name_2,0,0
event_type_2,0,0
is_year_start,0,0
holiday,0,0
rolling_std_holiday_t7,0,0
rolling_std_holiday_t30,0,0
rolling_std_holiday_t60,0,0
rolling_std_holiday_t90,0,0
rolling_std_holiday_t180,0,0
rolling_mean_holiday_t7,0,0
rolling_mean_holiday_t30,0,0
rolling_mean_holiday_t60,0,0
rolling_mean_holiday_t90,0,0
rolling_mean_holiday_t180,0,0
